id,label
0,5
1,1
2,3
3,6
4,6
5,0
6,2
7,4
8,6
9,6
10,7
11,3
12,1
13,1
14,7
15,7
16,2
17,9
18,8
19,7
20,2
21,3
22,0
23,8
24,3
25,1
26,3
27,7
28,0
29,6
30,0
31,6
32,3
33,8
34,0
35,1
36,8
37,3
38,5
39,4
40,6
41,0
42,8
43,1
44,9
45,4
46,7
47,7
48,0
49,2
50,9
51,1
52,3
53,3
54,8
55,3
56,8
57,6
58,4
59,5
60,0
61,4
62,7
63,1
64,4
65,1
66,9
67,1
68,1
69,3
70,9
71,1
72,0
73,1
74,6
75,0
76,0
77,4
78,2
79,0
80,3
81,0
82,4
83,4
84,5
85,9
86,7
87,4
88,1
89,9
90,8
91,3
92,8
93,1
94,2
95,6
96,7
97,0
98,1
99,7
100,4
101,9
102,9
103,1
104,1
105,5
106,9
107,3
108,3
109,5
110,6
111,2
112,8
113,5
114,4
115,1
116,8
117,9
118,7
119,2
120,1
121,6
122,9
123,4
124,6
125,9
126,7
127,6
128,0
129,0
130,3
131,1
132,4
133,9
134,3
135,9
136,9
137,5
138,1
139,5
140,5
141,6
142,9
143,6
144,1
145,7
146,3
147,2
148,1
149,6
150,0
151,7
152,8
153,4
154,2
155,8
156,3
157,8
158,0
159,4
160,1
161,9
162,7
163,2
164,1
165,7
166,1
167,6
168,0
169,8
170,5
171,7
172,9
173,6
174,4
175,6
176,0
177,9
178,1
179,1
180,6
181,3
182,6
183,9
184,7
185,7
186,5
187,9
188,6
189,7
190,9
191,2
192,9
193,5
194,5
195,4
196,9
197,2
198,4
199,4
200,6
201,7
202,0
203,0
204,8
205,3
206,4
207,6
208,6
209,4
210,3
211,4
212,8
213,0
214,1
215,9
216,9
217,5
218,9
219,0
220,0
221,6
222,0
223,9
224,2
225,3
226,0
227,6
228,8
229,2
230,2
231,6
232,5
233,2
234,9
235,0
236,7
237,1
238,7
239,1
240,0
241,3
242,4
243,7
244,0
245,6
246,7
247,9
248,7
249,1
250,1
251,9
252,2
253,6
254,9
255,8
256,9
257,8
258,5
259,0
260,8
261,8
262,3
263,7
264,1
265,8
266,7
267,1
268,3
269,4
270,4
271,8
272,7
273,4
274,2
275,1
276,8
277,9
278,6
279,7
280,8
281,4
282,0
283,7
284,1
285,7
286,5
287,5
288,2
289,8
290,0
291,0
292,1
293,0
294,2
295,1
296,0
297,6
298,5
299,9
300,6
301,4
302,1
303,7
304,0
305,1
306,8
307,1
308,9
309,1
310,5
311,9
312,7
313,2
314,1
315,8
316,6
317,3
318,4
319,7
320,3
321,1
322,3
323,5
324,3
325,4
326,2
327,6
328,7
329,6
330,6
331,3
332,1
333,4
334,1
335,9
336,3
337,7
338,8
339,3
340,3
341,8
342,4
343,4
344,2
345,4
346,3
347,9
348,6
349,1
350,7
351,3
352,1
353,9
354,1
355,4
356,4
357,7
358,1
359,3
360,0
361,4
362,2
363,5
364,0
365,7
366,1
367,1
368,6
369,9
370,5
371,6
372,1
373,3
374,6
375,3
376,0
377,4
378,0
379,7
380,5
381,8
382,1
383,0
384,0
385,5
386,6
387,0
388,4
389,2
390,7
391,6
392,7
393,8
394,1
395,5
396,1
397,3
398,5
399,8
400,1
401,6
402,1
403,1
404,4
405,0
406,0
407,8
408,3
409,4
410,1
411,3
412,1
413,9
414,5
415,1
416,0
417,1
418,6
419,6
420,5
421,4
422,1
423,6
424,9
425,7
426,0
427,1
428,0
429,9
430,5
431,7
432,4
433,4
434,7
435,6
436,1
437,9
438,0
439,7
440,7
441,9
442,5
443,0
444,6
445,7
446,8
447,3
448,0
449,8
450,3
451,9
452,0
453,3
454,8
455,2
456,5
457,9
458,9
459,9
460,1
461,2
462,2
463,5
464,2
465,1
466,7
467,9
468,1
469,1
470,1
471,0
472,7
473,6
474,7
475,4
476,4
477,4
478,1
479,9
480,7
481,6
482,1
483,4
484,0
485,3
486,4
487,6
488,9
489,5
490,6
491,4
492,1
493,1
494,4
495,4
496,4
497,3
498,2
499,0
500,6
501,8
502,1
503,3
504,4
505,2
506,6
507,1
508,9
509,0
510,8
511,5
512,0
513,6
514,9
515,4
516,1
517,0
518,3
519,3
520,2
521,9
522,1
523,9
524,1
525,0
526,5
527,5
528,4
529,0
530,6
531,1
532,6
533,7
534,3
535,2
536,8
537,5
538,0
539,5
540,3
541,3
542,1
543,9
544,1
545,0
546,1
547,0
548,9
549,4
550,1
551,8
552,1
553,9
554,7
555,6
556,5
557,3
558,6
559,8
560,2
561,2
562,3
563,4
564,6
565,4
566,6
567,4
568,7
569,0
570,3
571,7
572,8
573,3
574,1
575,1
576,6
577,0
578,7
579,7
580,1
581,9
582,1
583,0
584,7
585,4
586,8
587,2
588,8
589,4
590,0
591,5
592,6
593,8
594,5
595,8
596,0
597,8
598,8
599,1
600,4
601,1
602,1
603,9
604,0
605,2
606,7
607,4
608,5
609,4
610,9
611,1
612,0
613,5
614,9
615,7
616,0
617,8
618,2
619,3
620,4
621,7
622,6
623,0
624,8
625,7
626,2
627,1
628,9
629,1
630,9
631,5
632,3
633,1
634,0
635,5
636,3
637,7
638,4
639,5
640,4
641,2
642,9
643,4
644,1
645,7
646,7
647,1
648,3
649,1
650,7
651,1
652,4
653,3
654,0
655,3
656,0
657,9
658,4
659,1
660,6
661,0
662,2
663,3
664,4
665,2
666,5
667,4
668,5
669,1
670,1
671,1
672,2
673,6
674,9
675,3
676,4
677,4
678,8
679,5
680,4
681,5
682,6
683,4
684,2
685,7
686,4
687,4
688,1
689,9
690,1
691,8
692,3
693,1
694,9
695,3
696,0
697,7
698,1
699,7
700,2
701,6
702,9
703,0
704,0
705,6
706,1
707,0
708,9
709,0
710,9
711,1
712,4
713,0
714,0
715,8
716,2
717,0
718,2
719,0
720,7
721,7
722,0
723,7
724,6
725,9
726,8
727,8
728,3
729,9
730,9
731,3
732,1
733,2
734,1
735,8
736,0
737,1
738,9
739,9
740,7
741,2
742,9
743,8
744,6
745,1
746,5
747,9
748,8
749,3
750,5
751,4
752,7
753,9
754,7
755,9
756,0
757,1
758,2
759,6
760,7
761,3
762,7
763,9
764,5
765,3
766,6
767,6
768,5
769,6
770,7
771,2
772,1
773,7
774,1
775,9
776,7
777,1
778,4
779,9
780,1
781,4
782,8
783,0
784,9
785,7
786,1
787,4
788,9
789,6
790,3
791,7
792,3
793,9
794,5
795,4
796,5
797,5
798,4
799,0
800,1
801,7
802,7
803,7
804,1
805,6
806,3
807,7
808,4
809,0
810,1
811,5
812,6
813,9
814,5
815,8
816,9
817,6
818,3
819,1
820,4
821,5
822,2
823,3
824,6
825,0
826,6
827,8
828,5
829,7
830,9
831,1
832,8
833,5
834,9
835,7
836,5
837,7
838,1
839,1
840,2
841,3
842,5
843,7
844,4
845,0
846,1
847,6
848,2
849,9
850,3
851,5
852,1
853,9
854,1
855,5
856,3
857,1
858,1
859,0
860,0
861,9
862,3
863,1
864,1
865,3
866,8
867,3
868,3
869,4
870,0
871,6
872,4
873,7
874,7
875,4
876,0
877,8
878,0
879,1
880,7
881,2
882,8
883,6
884,7
885,6
886,0
887,3
888,7
889,8
890,5
891,3
892,0
893,1
894,6
895,1
896,4
897,0
898,4
899,3
900,4
901,9
902,3
903,1
904,4
905,5
906,9
907,1
908,1
909,5
910,8
911,4
912,0
913,3
914,7
915,2
916,8
917,6
918,1
919,1
920,1
921,8
922,9
923,4
924,1
925,2
926,1
927,1
928,3
929,4
930,2
931,7
932,2
933,1
934,7
935,3
936,0
937,5
938,4
939,4
940,5
941,0
942,8
943,7
944,8
945,1
946,9
947,3
948,6
949,8
950,8
951,8
952,1
953,4
954,8
